"Dealership Name","First Name","Last Name",Address,"Apartment #",City,Province/State,"Postal Code/Zip","Home Phone","Work Phone",Year,Make,Model,"Purchase Date","Trade In Value"
"PBS Demo (#198)","Barbara Williams",,"1872 Middle Island Alley",,EDMONTON,AB,"T5H 3S6",5198295250,,2010,CHEVROLET,CRUZE,04/30/2013
"PBS Demo (#198)","Adam Wilson",,"1530 Silver Bear Boulevard",,EDMONTON,AB,"T5H 3S6",5198465153,5195047086,2010,CHEVROLET,CRUZE,04/30/2014
"PBS Demo (#198)","Melissa Thompson",,"461 Round Impasse",,EDMONTON,AB,"T5H 3S6",5198224365,5197164365,2010,CHRYSLER,200,05/30/2010
"PBS Demo (#198)","Phillip Jimenez",,"001 Velvet Cloud Concession",,EDMONTON,AB,"T5H 3S6",5198241953,,2010,FORD,FIESTA,08/30/2009
"PBS Demo (#198)","Christopher Martin",,"8455 Dewy Pony Walk",,"SHERWOOD PARK",AB,"T5H 3S6",,9052835600,2010,DODGE,DURANGO,09/30/2011
"PBS Demo (#198)","Carlos Brown",,"3013 Sunny End",,EDMONTON,AB,"T5H 3S6",5198275240,5198224818,2010,DODGE,DURANGO,09/30/2012
"PBS Demo (#198)","Howard Bennett",,"8895 Crystal Autoroute",,EDMONTON,AB,"T5H 3S6",,5198372030,2010,DODGE,DURANGO,09/30/2013
"PBS Demo (#198)","Jason Scott",,"6360 Red Heights",,EDMONTON,AB,"T5H 3S6",,5198372030,2010,JEEP,CHEROKEE,10/30/2011
"PBS Demo (#198)","Hannah Miller",,"2585 Easy Berry Swale",,EDMONTON,AB,"T5H 3S6",,5198372030,2010,RAM,4100,12/30/2008
"PBS Demo (#198)","Gabrielle Davis",,"7144 Rustic Gate Place",,EDMONTON,AB,"T5H 3S6",,5198372030,2010,RAM,4700,12/30/2010
"PBS Demo (#198)","Laurence Garc",,"5409 Shady Round",,"ST. ALBERT",AB,"T5H 3S6",,5198372030,2010,RAM,5300,12/30/2011
"PBS Demo (#198)","Amy Rodr",,"5347 Foggy Path",,EDMONTON,AB,"T5H 3S6",,5198372030,2010,RAM,5900,12/30/2012
"PBS Demo (#198)","Samantha Wilson",,"4044 Heather Highway",,EDMONTON,AB,"T5H 3S6",5198305507,5197636116,2010,RAM,6500,12/30/2013
"PBS Demo (#198)","Marie Anderson",,"8392 Lost Brook Moor",,EDMONTON,AB,"T5H 3S6",,5198372030,2010,DODGE,CARAVAN,06/30/2009
"PBS Demo (#198)","Julia Jackson",,"5289 Round Byway",,EDMONTON,AB,"T5H 3S6",2262181576,5198379690,2010,DODGE,SPRINTER,06/30/2014
